Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Direction
LOC113690594	3566.58668609719	-0.5779210573802	0.175487264749833	-3.29323645339199	0.000990411439856956	0.0503809294052488	Down
LOC113695662	24.9717664226186	1.5670236650864	0.476055370484208	3.29168361968596	0.000995895796692941	0.0505869144452731	Up
LOC113725548	428.223248243413	0.717931727207814	0.218317660619146	3.28847297635826	0.00100732454398111	0.050994238289571	Up
LOC113741905	187.933226353089	0.661684711366581	0.201189356658428	3.2888653870988	0.00100592121772531	0.050994238289571	Up
LOC113742174	825.64963340854	-3.51916292130818	1.07036700267963	-3.28780961342986	0.00100970096238853	0.050994238289571	Down
LOC113698720	1568.01662497196	0.53161945404986	0.16168207671737	3.28805433999442	0.00100882365526113	0.050994238289571	Up
LOC113725759	1182.39837085136	-0.529789279727748	0.161184847915065	-3.28684294200479	0.00101317323965295	0.0510963992049295	Down
LOC140035272	3458.48933065558	0.469971986930342	0.143017538633105	3.28611435647763	0.00101579761506286	0.0511555678945656	Up
LOC113693569	558.355504710484	-0.609703339869857	0.185583410822025	-3.28533319421833	0.00101861836114791	0.051224442891849	Down
LOC113691732	515.001886443989	0.547329307042392	0.166620571896513	3.28488433818564	0.00102024244053319	0.0512330292217607	Up
LOC113712263	1205.87376439447	1.40187192026593	0.426830912446832	3.28437299030106	0.00102209555213537	0.0512530759656842	Up
LOC113726051	475.742961916603	-0.657537891409471	0.200242495981766	-3.2837080270381	0.0010245100216295	0.0513011751171636	Down
LOC113730260	500.744737176544	-0.479441441427103	0.146033787114939	-3.2830857221401	0.00102677438002452	0.0513416318363468	Down
LOC113708062	103.886982504345	1.00227392621782	0.305329609206769	3.28259656448542	0.0010285575106511	0.0513579452768735	Up
LOC140035370	385.054558693982	0.532829152342031	0.162401037622628	3.28094672387605	0.00103459284439854	0.0515862333108024	Up
LOC113742016	2181.43060153755	-0.689550723484199	0.210234742735858	-3.2799085180253	0.00103840752048718	0.051703307785613	Down
LOC140014483	72.4067352018059	2.28382422286348	0.696678530381594	3.27816076320387	0.00104485870065243	0.0519511409244	Up
LOC113705692	111.747667685665	0.934320507103393	0.28507277922959	3.27748061259442	0.00104737922980912	0.0520031163510299	Up
LOC113696695	2413.6360254287	-0.589592354007254	0.180040055932064	-3.27478433038106	0.00105742667864757	0.0524281368153083	Down
LOC113739645	14128.9816129919	0.469446020832468	0.143394790411727	3.27380108778397	0.00106111277702666	0.0525370050782917	Up
LOC113706918	6442.30996657295	0.72466262509967	0.221419416276025	3.27280523672004	0.00106485825772077	0.0526485039287135	Up
LOC113734655	299.82924447912	-1.66031883896543	0.507463714524436	-3.27179814328475	0.00106865845718759	0.0527623920627126	Down
LOC113710693	725.908493585019	-0.627948568481495	0.192062607852268	-3.2694993341156	0.00107737990896123	0.0531185965744075	Down
LOC113690987	299.786404438547	0.54698488969299	0.167350767448896	3.2684934645431	0.00108121674477059	0.0532333138081743	Up
LOC113718982	6619.6830464044	0.389669538952328	0.119260377669764	3.26738474727403	0.00108546052805639	0.0533677190167977	Up
LOC113740209	13.6701413456946	-2.62213301616884	0.80277920728878	-3.26631904807868	0.00108955416919754	0.0534943782347515	Down
LOC113737146	1228.48172667927	0.541215835942247	0.16579861426383	3.2642964981663	0.00109736262477412	0.0538028195389951	Up
LOC113692870	26032.0963577474	0.992238149067106	0.304134172889639	3.26250134813742	0.00110433647558776	0.0539945484568927	Up
LOC113716623	1730.99566578551	-0.885660802891483	0.271455816578083	-3.2626333598445	0.00110382223991259	0.0539945484568927	Down
LOC113728072	1795.80060087722	-0.281704320074488	0.0863603114584169	-3.26196507767495	0.00110642773112926	0.0540218703293194	Down
LOC113738017	475.577855412013	-1.47646955251433	0.453108804961036	-3.25853202663165	0.0011199023485808	0.0544535139202348	Down
LOC113696225	5491.6308308813	-0.376545461118184	0.115547785305119	-3.25878561950682	0.00111890183831266	0.0544535139202348	Down
LOC113708585	433.426164246708	1.07701073899253	0.330518752404704	3.25854654586674	0.00111984504293699	0.0544535139202348	Up
LOC113726819	606.319003290019	-0.749649824546232	0.230086999639021	-3.25811465107695	0.00112155083847657	0.0544585539366059	Down
LOC113688549	444.215978692533	0.72143480719347	0.221593179359734	3.25567244117336	0.00113124178262143	0.0548535561498906	Up
LOC113711663	119.823237634932	0.858753780935766	0.263813660862019	3.25515281555081	0.00113331367350477	0.0548785351900966	Up
LOC113726125	472.348117297972	-0.56977855529788	0.175086549109168	-3.25426800743339	0.00113684972191009	0.0549742474578525	Down
LOC113724923	111.987059965937	-1.41442100864058	0.435346912025374	-3.24895151331209	0.0011583122013869	0.0556214837547895	Down
LOC113725859	188.647317659423	-1.33034278620905	0.409510436700398	-3.24861753690137	0.00115967287327125	0.0556214837547895	Down
LOC140007335	92.4150744081539	0.753181355115829	0.231846070149812	3.24862679203122	0.00115963514653908	0.0556214837547895	Up
LOC140013999	422.797988100379	1.08730842823226	0.334552443884387	3.25003881486519	0.00115389258026265	0.0556214837547895	Up
LOC113716952	202.489038842298	-1.26263487919088	0.388640064309624	-3.2488541330236	0.00115870879137291	0.0556214837547895	Down
LOC113715429	857.728395909237	-0.718749382986547	0.221248244276521	-3.24861056112263	0.00115970130942274	0.0556214837547895	Down
LOC113701857	2271.16381206723	-0.338213430317969	0.104175627832459	-3.24656963778421	0.00116804868492668	0.0559457231535806	Down
LOC113705254	919.058749772181	0.966556120569627	0.297914727024464	3.24440530424082	0.00117696144357968	0.0562961259281831	Up
LOC113731752	271.644265304852	0.661395437921822	0.203902350114903	3.24368717451816	0.00117993256978708	0.0563210897752329	Up
LOC113734021	2871.09632951224	-0.377025143772453	0.116267026004131	-3.24275210891742	0.00118381161428528	0.0563210897752329	Down
LOC113741448	93.156277016498	-1.19500791581763	0.368556919040085	-3.24239718231325	0.00118528708128606	0.0563210897752329	Down
LOC113743201	649.025943679901	0.500728897346637	0.15443381038152	3.24235279897331	0.00118547170694493	0.0563210897752329	Up
LOC113706712	837.306866503405	-0.363026851146006	0.11196279206639	-3.24238833674979	0.00118532387490944	0.0563210897752329	Down
LOC113731548	3235.41993908723	-0.424148515439463	0.130842149091643	-3.2416810514354	0.00118826928632687	0.0563422254207685	Down
LOC140036594	354.466704534167	-0.62552763788901	0.192978964705209	-3.24142913112087	0.00118932001278823	0.0563422254207685	Down
LOC140009702	388.976678661075	0.633343260733626	0.195410222170932	3.24109585311058	0.00119071139051607	0.0563422254207685	Up
LOC113710358	1868.93595603351	0.492265272137497	0.151901204377658	3.24069367424911	0.00119239241966664	0.0563461361636574	Up
LOC140036911	222.645468714039	1.51053610601871	0.46629219477401	3.23946255791564	0.00119755188405276	0.0564137634866711	Up
LOC113743226	1038.43245218397	0.378243381280745	0.116770355362998	3.23920724660741	0.00119862444262784	0.0564137634866711	Up
LOC113702298	745.09373553775	-0.331946714900301	0.102462711985621	-3.23968308536361	0.00119662616565716	0.0564137634866711	Down
LOC113691399	476.317326629621	0.396973041290156	0.122616751931628	3.23751065850702	0.00120577435389121	0.0566746100311638	Up
LOC113725078	195.306673544663	0.905998309932627	0.279907105749639	3.23678210135541	0.00120885677877784	0.0567438337756011	Up
LOC113727094	1705.85791093553	-0.374259577024375	0.115642897627423	-3.23633863127644	0.00121073660165174	0.0567564982465786	Down
LOC113726507	1817.65348907821	0.523593936395493	0.161818858557348	3.23567933344389	0.00121353628726681	0.0568121928269982	Up
LOC113716790	380.514590058292	-0.716960953482494	0.221661692994838	-3.23448289055155	0.00121863221882979	0.0569750967880472	Down
LOC140006750	1297.52720608337	0.364826994468211	0.112817217393346	3.23378827183988	0.00122159982444489	0.0570381947169952	Up
LOC140006191	59.1548901403427	-2.02763272837714	0.627207734326384	-3.23279292873325	0.00122586384493902	0.0570889701469349	Down
LOC113736915	133.677450723631	-1.10174657842252	0.340844623344848	-3.23240122613826	0.00122754565333532	0.0570889701469349	Down
LOC140013008	2710.51437460915	0.58549355478898	0.181124406090771	3.23254920430524	0.00122691004619479	0.0570889701469349	Up
LOC113723052	2334.16621996762	0.424060586976387	0.131263054972777	3.23061646755314	0.00123523567519118	0.0573709196598674	Up
