Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Direction
LOC113712906	99.2344331721074	2.04396267165377	0.545550325437427	3.74660700644785	0.000179242562378078	0.0251931956690923	Up
LOC140028229	25.7505881566782	3.79445264832663	1.01286293440931	3.74626469132223	0.000179487206584861	0.0251931956690923	Up
LOC113724860	695.923952827696	0.773307767371789	0.206579573456375	3.74338931208557	0.000181554599496497	0.0253958074656526	Up
LOC113742811	153.917838695748	1.25884653844486	0.336584802679483	3.74005756773163	0.000183978114060582	0.025646675112452	Up
LOC113726523	575.960560821766	1.24043971098587	0.333112757673104	3.72378326081152	0.000196259431394702	0.0272627269070302	Up
LOC113719129	3267.29629107881	-0.432162089763583	0.11610736005572	-3.7220903959593	0.000197580258876647	0.0272627269070302	Down
LOC140034402	17.3920611799073	3.66399930763495	0.984276113856615	3.72253197660012	0.000197234920616002	0.0272627269070302	Up
LOC113700084	376.748855894751	0.807466571261169	0.217696698238915	3.70913558998952	0.000207968041335279	0.0284262100623291	Up
LOC113702304	3105.60067809792	0.798770661689385	0.215362088239061	3.70896599406445	0.000208107372523623	0.0284262100623291	Up
LOC113707331	412.233587502458	3.86559835887012	1.04187648076633	3.71022710487415	0.000207073403911701	0.0284262100623291	Up
LOC140027747	27.6634232586548	3.65229304474621	0.984998167482166	3.70791861885605	0.000208969786020989	0.0284485456186768	Up
LOC113702080	180.343362267	1.27381008207026	0.343806669930879	3.70501852778585	0.000211375281463861	0.0286801027732883	Up
LOC113741837	159.754260300007	2.17658224737466	0.58804817010325	3.70136726552945	0.000214440825659286	0.0289993814234593	Up
LOC113735062	1107.54203560534	0.955034191731924	0.258199828329884	3.6988180740064	0.000216605783177556	0.0291951602789484	Up
LOC113690153	1973.14881783452	0.616678406791439	0.167605589778824	3.67934272123752	0.00023383584785068	0.0314134923655509	Up
LOC113687921	2722.39996454865	1.19959636148568	0.326190942665839	3.67758942563463	0.00023544854241631	0.0315260951284734	Up
LOC113725429	129.359203886444	2.5331724564549	0.688985172700509	3.6766719471277	0.000236296599947692	0.0315359118061337	Up
LOC113731516	666.639108626396	0.822844869088172	0.223978261218412	3.6737711267692	0.000238996825258477	0.031792045007014	Up
LOC140028101	11.3536960104278	4.25231339493264	1.15776777782779	3.67285519287025	0.000239855417206184	0.0318023281999275	Up
LOC113703919	4.84223635591083	6.02357689538643	1.64058059116218	3.67161292034995	0.000241024542229686	0.031853584387855	Up
LOC113738517	530.255701006	0.70859431192199	0.193038087943931	3.67074870803634	0.000241841019032377	0.0318580539796534	Up
LOC140027978	21.9045697112194	3.69281934137284	1.00627166101242	3.66980357735352	0.000242736914835737	0.0318729229625441	Up
LOC140028260	49.1937516662524	4.22287281040278	1.15130009991721	3.66791665414294	0.000244534862939057	0.0320057607586312	Up
LOC113711139	427.99375867802	0.991481357556952	0.2705288865458	3.66497408175706	0.000247363632286052	0.0322722328596274	Up
LOC113700155	2773.75164438252	0.906084350915765	0.247450850086583	3.66167402778664	0.000250572559948981	0.0325864410630136	Up
LOC140028139	8.90539930208571	3.98054938404707	1.09004050219435	3.65174447741517	0.000260464978570998	0.0337650539895939	Up
LOC113741751	67.2787370621237	1.64996009010039	0.452056269295611	3.64989980709998	0.000262342617479278	0.0338079983241161	Up
LOC113706852	6800.22666986084	0.569380001332237	0.156003604774814	3.64978746583529	0.00026245737551703	0.0338079983241161	Up
LOC140027171	39.1371747423664	7.6238085439221	2.09063115574728	3.64665403697048	0.000265677240814403	0.0341148015373826	Up
LOC113689008	235.240439329268	-1.78253382986196	0.489774629151132	-3.63949809517781	0.000273169958174864	0.0349666136714082	Down
LOC140006677	624.043300760508	0.505335713004468	0.139171195620015	3.63103665778806	0.000282285081882684	0.0360201073919581	Up
LOC113733472	1573.92977646346	2.11807894421719	0.583944106878818	3.6271946565885	0.000286517292925296	0.0363385984492577	Up
LOC113687906	661.103561130396	1.61518525393807	0.445402866489319	3.62634678727826	0.000287459248265839	0.0363385984492577	Up
LOC113711152	113.738843957268	1.13405650964819	0.312724944657617	3.62637048633839	0.000287432880010552	0.0363385984492577	Up
LOC113731539	6490.10806328564	0.834502001360882	0.23044428934307	3.62127438149934	0.000293155398643606	0.0369439334420681	Up
LOC113695229	499.386163038354	0.424372628384519	0.117251988584174	3.61932137364021	0.000295376622132597	0.0371089672960103	Up
LOC113724956	238.832071226495	0.936669248274325	0.259019956365648	3.61620494967602	0.000298953712953854	0.0374428027254973	Up
LOC113713809	121.412203143754	0.897998706246705	0.248638741079786	3.61166044497686	0.000304242761013945	0.0379883484266032	Up
LOC140028315	12.4396491306585	4.76260145360106	1.31965685865131	3.60896957597633	0.000307415656297221	0.0382671385002397	Up
LOC113695072	3481.56299650482	-0.448840771847675	0.124416867935702	-3.60755562565386	0.000309095285176148	0.0383589133630949	Down
LOC113708802	1126.54419681154	-0.703281183009675	0.195029920868104	-3.60601686079385	0.000310932942679652	0.0384696821634505	Down
LOC113715745	72.8415529693583	1.51759376485904	0.421290178793754	3.6022528918292	0.000315471235347988	0.0388101008935327	Up
LOC140034391	18.8190010519912	4.34919008952989	1.20738593491699	3.60215401203003	0.00031559128843531	0.0388101008935327	Up
